Pokemon,Collected,Collected_Shadow,Collected_Purified
Toucannon,YES,NO,NO
Yungoos,YES,NO,NO
Gumshoos,YES,NO,NO
Grubbin,YES,NO,NO
Charjabug,YES,NO,NO
Vikavolt,YES,NO,NO
Crabrawler,YES,NO,NO
Crabominable,NO,NO,NO
Oricorio Baile Style,NO,NO,NO
Oricorio Pom-Pom Style,NO,NO,NO
Oricorio Pa'u Style,NO,NO,NO
Oricorio Sensu Style,YES,NO,NO
Cutiefly,YES,NO,NO
Ribombee,YES,NO,NO
Rockruff,YES,NO,NO
Lycanroc Midday Form,YES,NO,NO
Lycanroc Midnight Form,NO,NO,NO
Lycanroc Dusk Form,NO,NO,NO
Wishiwashi Solo Form,NO,NO,NO
Wishiwashi School Form,NO,NO,NO
Mareanie,YES,NO,NO
Toxapex,YES,NO,NO
Mudbray,NO,NO,NO
Mudsdale,NO,NO,NO
Dewpider,YES,YES,YES
Araquanid,YES,NO,NO
Fomantis,YES,NO,NO
Lurantis,YES,NO,NO
Morelull,YES,YES,NO
Shiinotic,YES,NO,NO
Salandit,NO,NO,NO
Salazzle,NO,NO,NO
Stufful,YES,NO,NO
Bewear,YES,NO,NO
Bounsweet,YES,NO,NO
Steenee,YES,NO,NO
Tsareena,YES,NO,NO
Comfey,NO,NO,NO
Oranguru,YES,NO,NO
Passimian,YES,NO,NO
Wimpod,YES,NO,NO
Golisopod,NO,NO,NO
Sandygast,YES,NO,NO
Palossand,YES,NO,NO
Pyukumuku,NO,NO,NO
Komala,NO,NO,NO
Turtonator,NO,NO,NO
Togedemaru,YES,NO,NO
Bruxish,NO,NO,NO
Drampa,NO,NO,NO
Jangmo-o,YES,NO,NO
Hakamo-o,YES,NO,NO
Kommo-o,NO,NO,NO
Tapu Koko,NO,NO,NO
Tapu Lele,NO,NO,NO
Tapu Bulu,NO,NO,NO
Tapu Fini,NO,NO,NO
Cosmog,NO,NO,NO
Cosmoem,NO,NO,NO
Solgaleo,NO,NO,NO
Lunala,NO,NO,NO
Nihilego,NO,NO,NO
Buzzwole,NO,NO,NO
Pheromosa,NO,NO,NO
Xurkitree,NO,NO,NO
Celesteela,NO,NO,NO
Kartana,NO,NO,NO
Guzzlord,NO,NO,NO
Necrozma,NO,NO,NO
Marshadow,NO,NO,NO
Meltan,YES,NO,NO
Melmetal,YES,NO,NO
Skwovet,YES,NO,NO
Greedent,YES,NO,NO
Wooloo,YES,NO,NO
Dubwool,YES,NO,NO
Obstagoon,YES,NO,NO
Perrserker,YES,NO,NO
Sirfetch'd,NO,NO,NO
Mr. Rime,NO,NO,NO
Runerigus,NO,NO,NO
Falinks,NO,NO,NO
Falinks Mega Falinks,NO,NO,NO
Zacian Hero of Many Battles,NO,NO,NO
Zamazenta Hero of Many Battles,NO,NO,NO
Zarude,NO,NO,NO
Regieleki,NO,NO,NO
Regidrago,NO,NO,NO
Wyrdeer,NO,NO,NO
Kleavor,NO,NO,NO
Ursaluna,YES,NO,NO
Sneasler,NO,NO,NO
Overqwil,NO,NO,NO
Sprigatito,YES,NO,NO
Floragato,YES,NO,NO
Meowscarada,YES,NO,NO
Fuecoco,YES,NO,NO
Crocalor,YES,NO,NO
Skeledirge,YES,NO,NO
Quaxly,YES,NO,NO
Quaxwell,YES,NO,NO
Quaquaval,YES,NO,NO
Lechonk,YES,NO,NO
Oinkologne Male,YES,NO,NO
Oinkologne Female,YES,NO,NO
Nymble,NO,NO,NO
Lokix,YES,NO,NO
Pawmi,YES,NO,NO
Pawmo,YES,NO,NO
Pawmot,YES,NO,NO
Smoliv,YES,NO,NO
Dolliv,YES,NO,NO
Arboliva,YES,NO,NO
Tadbulb,YES,NO,NO
Bellibolt,NO,NO,NO
Bombirdier,NO,NO,NO
Greavard,YES,NO,NO
Houndstone,YES,NO,NO
Cetoddle,YES,NO,NO
Cetitan,YES,NO,NO
Annihilape,YES,NO,NO
Clodsire,YES,NO,NO
Frigibax,YES,NO,NO
Arctibax,NO,NO,NO
Baxcalibur,NO,NO,NO
Gimmighoul Roaming Form,NO,NO,NO
Gholdengo,NO,NO,NO
Poipole,NO,NO,NO
Naganadel,NO,NO,NO
Stakataka,NO,NO,NO
Blacephalon,NO,NO,NO
Enamorus Incarnate Form,NO,NO,NO
Enamorus Therian Form,NO,NO,NO
Charcadet,YES,NO,NO
Armarouge,NO,NO,NO
Ceruledge,NO,NO,NO
Varoom,NO,NO,NO
Revavroom,NO,NO,NO
Heracross Mega Heracross,NO,NO,NO
Necrozma Dusk Mane,NO,NO,NO
Necrozma Dawn Wings,NO,NO,NO
Wiglett,NO,NO,NO
Wugtrio,NO,NO,NO
Lucario Mega Lucario,NO,NO,NO
Tandemaus,YES,NO,NO
Maushold Family of Four,NO,NO,NO
Maushold Family of Three,NO,NO,NO
Slowpoke Galarian Form,YES,NO,NO
Grookey,YES,NO,NO
Thwackey,YES,NO,NO
Rillaboom,NO,NO,NO
Scorbunny,YES,NO,NO
Raboot,YES,NO,NO
Cinderace,YES,NO,NO
Sobble,YES,NO,NO
Drizzile,YES,NO,NO
Inteleon,YES,NO,NO
Stonjourner,NO,NO,NO
Morpeko Full Belly Mode,NO,NO,NO
Morpeko Hangry Mode,NO,NO,NO
Dreepy,YES,NO,NO
Drakloak,NO,NO,NO
Dragapult,NO,NO,NO
Hatenna,YES,NO,NO
Hattrem,YES,NO,NO
Hatterene,YES,NO,NO
Mawile Mega Mawile,NO,NO,NO
Toxel,YES,NO,NO
Toxtricity Amped Form,NO,NO,NO
Toxtricity Low Key Form,NO,NO,NO
Corsola Galarian Form,NO,NO,NO
Gallade Mega Gallade,NO,NO,NO
Dhelmise,NO,NO,NO
Rookidee,YES,NO,NO
Corvisquire,YES,NO,NO
Corviknight,YES,NO,NO
Nickit,YES,NO,NO
Thievul,YES,NO,NO
Sinistea,YES,NO,NO
Polteageist,YES,NO,NO
Cursola,NO,NO,NO
Zacian Crowned Sword,NO,NO,NO
Zamazenta Crowned Shield,NO,NO,NO
Eternatus,NO,NO,NO
Eternatus Eternamax,NO,NO,NO
Kubfu,NO,NO,NO
Fidough,YES,NO,NO
Dachsbun,NO,NO,NO
Shroodle,NO,NO,NO
Grafaiai,NO,NO,NO
Tinkatink,YES,NO,NO
Tinkatuff,YES,NO,NO
Tinkaton,YES,NO,NO
Tauros Paldean Form Combat Breed,NO,NO,NO
Tauros Paldean Form Blaze Breed,NO,NO,NO
Tauros Paldean Form Aqua Breed,NO,NO,NO
Audino Mega Audino,NO,NO,NO
Gossifleur,YES,NO,NO
Eldegoss,YES,NO,NO
Applin,YES,NO,NO
Flapple,NO,NO,NO
Appletun,NO,NO,NO
Sizzlipede,YES,NO,NO
Centiskorch,YES,NO,NO
Urshifu Single Strike Style,NO,NO,NO
Urshifu Rapid Strike Style,NO,NO,NO
Kingambit,NO,NO,NO
Yamper,YES,NO,NO
Boltund,YES,NO,NO
Zorua Hisuian Form,YES,NO,NO
Zoroark Hisuian Form,NO,NO,NO
Toedscool,YES,NO,NO
Toedscruel,YES,NO,NO
Lilligant Hisuian Form,NO,NO,NO
Snom,YES,NO,NO
Frosmoth,NO,NO,NO
Dondozo,NO,NO,NO
Tatsugiri Curly Form,NO,NO,NO
Tatsugiri Droopy Form,NO,NO,NO
Tatsugiri Stretchy Form,NO,NO,NO
Sharpedo Mega Sharpedo,NO,NO,NO
Camerupt Mega Camerupt,NO,NO,NO
Metagross Mega Metagross,NO,NO,NO
Impidimp,YES,NO,NO
Morgrem,NO,NO,NO
Grimmsnarl,YES,NO,NO
Indeedee Male,NO,NO,NO
Indeedee Female,NO,NO,NO
Duraludon,NO,NO,NO
Dudunsparce Two-Segment Form,NO,NO,NO
Dudunsparce Three-Segment Form,NO,NO,NO
Dipplin,NO,NO,NO
Poltchageist,NO,NO,NO
Sinistcha,NO,NO,NO
Hydrapple,NO,NO,NO
Tarountula,YES,NO,NO
Spidops,YES,NO,NO
Victreebel Mega Victreebel,NO,NO,NO
Dragonite Mega Dragonite,NO,NO,NO
Malamar Mega Malamar,NO,NO,NO
Mimikyu,NO,NO,NO
Zeraora,NO,NO,NO
Rolycoly,YES,NO,NO
Carkol,NO,NO,NO
Coalossal,NO,NO,NO
Clobbopus,NO,NO,NO
Grapploct,NO,NO,NO
Nacli,YES,NO,NO
Naclstack,NO,NO,NO
Garganacl,NO,NO,NO
Wattrel,YES,NO,NO
Kilowattrel,YES,NO,NO
Klawf,NO,NO,NO
Glimmet,YES,NO,NO
Glimmora,NO,NO,NO
Flamigo,NO,NO,NO
Squawkabilly Yellow Plumage,NO,NO,NO
Squawkabilly Blue Plumage,NO,NO,NO
Squawkabilly White Plumage,NO,NO,NO
Squawkabilly Green Plumage,NO,NO,NO
Blipbug,NO,NO,NO
Dottler,NO,NO,NO
Orbeetle,NO,NO,NO
Flittle,NO,NO,NO
Espathra,NO,NO,NO
Silicobra,NO,NO,NO
Sandaconda,NO,NO,NO
Orthworm,NO,NO,NO
